新聞台,#genre#
TVBS新聞,http://robyang.serv00.net/ublive.php?id=2736
TVBS新聞-2,http://robyang.serv00.net/ublive.php?id=2
TVBS新聞臺Ⓨ,https://m.youtube.com/@TVBSNEWS01/streams/1$logo=https://yt3.googleusercontent.com/jWe-dwGiiNd26ijxazm7ZTmbbObYF0e-HJntH2d_YtMM4M-vLKfoSb9Wj1NA6NOUk6KfsG2IsA=s160-c-k-c0x00ffffff-no-rj
中天新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv009
中天新聞 2(循環直播),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
中視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv074
寰宇新聞,https://www.ofiii.com/channel/watch/litv-longturn14
東森新聞,http://robyang.serv00.net/ublive.php?id=1358
東森新聞,http://robyang.serv00.net/ublive.php?id=1025
東森財經-2,http://robyang.serv00.net/ublive.php?id=12
民視新聞-2,http://robyang.serv00.net/ublive.php?id=13
臺視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv051
華視新聞,https://www.ofiii.com/channel/watch/4gtv-4gtv052
華視新聞-2,http://robyang.serv00.net/ublive.php?id=2424
非凡新聞,http://robyang.serv00.net/ublive.php?id=2795
體育,#genre#
緯來體育,http://robyang.serv00.net/ublive.php?id=2732
綜合台1,#genre#
ELTA綜合,http://robyang.serv00.net/ublive.php?id=1137
Smart知識,https://www.ofiii.com/channel/watch/litv-longturn19
TVBS,http://robyang.serv00.net/ublive.php?id=16
TVBSⓎ,https://m.youtube.com/@TVBSNEWS02/streams/1$logo=https://yt3.googleusercontent.com/ytc/AIdro_k-0Eo2JQs8c-kMUqmrxsZIsJqC9jSpr-mydLFNrnKbP3Q=s160-c-k-c0x00ffffff-no-rj
TVBS食尚玩家,https://www.ofiii.com/channel/watch/ofiii31
三立綜合,http://robyang.serv00.net/ublive.php?id=2815
東森綜合,http://robyang.serv00.net/ublive.php?id=372
東森超視,http://robyang.serv00.net/ublive.php?id=80
緯來日本,http://robyang.serv00.net/ublive.php?id=3266
緯來日本-1,http://robyang.serv00.net/ublive.php?id=337
緯來日本（備）,http://robyang.serv00.net/ublive.php?id=46
緯來綜合,http://robyang.serv00.net/ublive.php?id=2726
緯來育樂,http://robyang.serv00.net/ublive.php?id=338
緯來育樂（測試）,http://robyang.serv00.net/ublive.php?id=2772
超視,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8$LR•IPV4『線路5』
靖天日本,http://robyang.serv00.net/ublive.php?id=108
靖天育樂,http://robyang.serv00.net/ublive.php?id=1029
綜合台2,#genre#
ELTA娛樂臺,http://robyang.serv00.net/ublive.php?id=351
三立臺灣,http://robyang.serv00.net/ublive.php?id=35
三立都會,http://robyang.serv00.net/ublive.php?id=2435
中天亞洲,http://robyang.serv00.net/ublive.php?id=322
中天娛樂,http://robyang.serv00.net/ublive.php?id=324
東森娛樂,https://www.ofiii.com/channel/watch/ofiii32
靖天國際,http://robyang.serv00.net/ublive.php?id=345
靖天歡樂,http://robyang.serv00.net/ublive.php?id=51
韓國娛樂,http://robyang.serv00.net/ublive.php?id=73
龍華經典,https://www.ofiii.com/channel/watch/litv-longturn21
龍華經典,http://robyang.serv00.net/ublive.php?id=100
電影,#genre#
AXN亞洲,http://robyang.serv00.net/ublive.php?id=1066
AXN臺灣,http://robyang.serv00.net/ublive.php?id=2816
CATCHPLAY,http://robyang.serv00.net/ublive.php?id=362
CinemaOne,http://robyang.serv00.net/ublive.php?id=1333
影迷數位電影,http://robyang.serv00.net/ublive.php?id=2800
緯來電影,http://robyang.serv00.net/ublive.php?id=3252
緯來電影,http://robyang.serv00.net/ublive.php?id=2728
龍華電影,https://www.ofiii.com/channel/watch/litv-longturn03
戲劇,#genre#
三立戲劇,http://robyang.serv00.net/ublive.php?id=2819
愛爾達影劇,http://robyang.serv00.net/ublive.php?id=500
採昌影劇,http://robyang.serv00.net/ublive.php?id=2804
緯來戲劇,http://robyang.serv00.net/ublive.php?id=2727
緯來戲劇-備,http://robyang.serv00.net/ublive.php?id=339
龍華偶像,https://www.ofiii.com/channel/watch/litv-longturn12
龍華偶像,http://robyang.serv00.net/ublive.php?id=385
龍華戲劇,https://www.ofiii.com/channel/watch/litv-longturn18
龍華戲劇,http://robyang.serv00.net/ublive.php?id=2796
龍華日韓,https://www.ofiii.com/channel/watch/litv-longturn11
龍華日韓,http://robyang.serv00.net/ublive.php?id=382
四台,#genre#
中視,https://www.ofiii.com/channel/watch/4gtv-4gtv040
公視金獎,https://www.ofiii.com/channel/watch/ofiii13
臺視,https://www.ofiii.com/channel/watch/4gtv-4gtv066
臺視Ⓨ(🇹🇼),https://m.youtube.com/watch?v=uDqQo8a7Xmk$logo=https://yt3.ggpht.com/zZprPFWx3ghy6rWKK72sMhCsVt_I0znpo31qmus3hG9ZVgBzF6Fg3Zfs-CfPoU820g8e7Blf=s176-c-k-c0x00ffffff-no-rj
臺視時光機,http://robyang.serv00.net/ublive.php?id=2555
華視,https://www.ofiii.com/channel/watch/4gtv-4gtv041
華視,http://robyang.serv00.net/ublive.php?id=2282
華視,http://robyang.serv00.net/ublive.php?id=32
