新聞台,#genre#
TVBS新聞,https://live.tvfix.org/live/tvbsnews/index.m3u8
TVBS新聞,https://live.tvfix.org/live/tvbsnews/1/v4000000/index.m3u8
TVBS新聞,http://aktv_stream.m16tv.cfd/stream/aktv3/null-2/AKTV.m3u8
TVBS新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv072
TVBS新聞HD,http://211.23.114.106:8510/http/61.219.99.20:8081/hls/75/817/ch59.m3u8
TVBS新聞HD,http://220.134.196.147:8542/http/61.219.99.20:8081/hls/75/817/ch59.m3u8
TVBS新聞HD,http://211.23.114.106:8510/http/61.219.99.20%3A8081/hls/75/817/ch59.m3u8
TVBS新聞HD,http://220.134.196.147:8542/http/61.219.99.20%3A8081/hls/75/817/ch59.m3u8
三立新聞,https://epg.pw/stream/6b49e3faa38adda85abab446f032dc1e686baa0760a9cfa66e2df8fd6fe3b445.m3u8
三立新聞,http://61.221.81.93:8584/http/192.168.1.10:8088/hls/65/807/ch18.m3u8
三立新聞,http://robyang.serv00.net/ublive.php?id=43
三立新聞HD,http://220.134.196.147:8541/http/61.219.99.20:8081/hls/65/807/ch18.m3u8
三立新聞HD,http://220.134.196.147:8541/http/61.219.99.20%3A8081/hls/65/807/ch18.m3u8
中天新聞,http://222.128.55.152:9080/live/fc.m3u8
中天新聞,http://103.225.9.173:1977/live/video/no_signal.mp4
中天新聞,http://cdn.iptv8k.top/dl/jspd.php?id=1
中天新聞,http://jnzq.ohoyee.com:9080/live/fc.m3u8
中天新聞,http://cdn.iptv8k.top/dl/jspd.php
中天新聞,http://8.138.7.223/tv/hot.php?id=70
中天新聞,http://aktv_stream.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
中天新聞,http://kkk.888.3116598.xyz//api.php?n=HKTV&id=MHgHPf&tk=on7ptxNRYztN
中天新聞,http://220.134.196.147:8567/http/61.219.99.20:8081/hls/78/80/ch63max.m3u8
中天新聞,http://220.134.196.147:8567/http/61.219.99.20%3A8081/hls/78/80/ch63max.m3u8
中天新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv009
中天新聞2,http://robyang.serv00.net/ublive.php?id=2420
中天新聞_SDI,http://61.221.81.93:8582/http/192.168.1.10:8088/hls/78/80/ch63max.m3u8
中天新聞臺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=67fruw&tk=ubY7XqjFrKz1
中視新聞,http://38.64.72.148/hls/modn/list/4010/playlist.m3u8
中視新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv074
壹新聞,http://220.134.196.147:8501/http/61.219.99.20:8081/hls/66/808/ch24.m3u8
壹新聞,http://220.134.196.147:8501/http/61.219.99.20%3A8081/hls/66/808/ch24.m3u8
壹電視新聞,http://61.221.81.93:8580/http/192.168.1.10:8088/hls/66/808/ch24.m3u8
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
寰宇新聞,http://jnzq.ohoyee.com:9080/live/hy.m3u8
寰宇新聞,http://61.221.81.93:8585/http/192.168.1.10:8088/hls/76/818/ch62.m3u8
