新聞台,#genre#
BBC news,http://125.227.210.55:8165/VideoInput/play.ts
Bloomberg News,http://211.23.114.106:9350/http/61.219.99.20:8078/hls/43/80/bloomber.m3u8
Bloomberg News,http://220.134.196.147:8514/http/61.219.99.20:8078/hls/43/80/bloomber.m3u8
CNN new,http://125.227.210.55:8166/VideoInput/play.ts
CNN新聞高碼,http://61.216.11.93:49981/stream/channelid/881277234.m3u8
TVBSNEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv072
TVBS新聞HD,http://211.23.114.106:8510/http/61.219.99.20:8081/hls/75/817/ch59.m3u8
TVBS新聞HD,http://220.134.196.147:8542/http/61.219.99.20:8081/hls/75/817/ch59.m3u8
TVBS新聞頻道,http://122.117.71.103:8662/tvbs新闻.m3u8
三立 iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
三立新聞HD,http://220.134.196.147:8541/http/61.219.99.20:8081/hls/65/807/ch18.m3u8
三立新聞臺,https://www.youtube.com/watch?v=MV9mI0GChwo
三立新聞頻道,http://122.117.71.103:8683/三立新闻.m3u8
中天CTI+,https://www.youtube.com/watch?v=DM_PEM8GrIg
中天新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv009
中天新聞,http://220.134.196.147:8567/http/61.219.99.20:8081/hls/78/80/ch63max.m3u8
中天新聞臺,https://www.youtube.com/watch?v=vr3XyVCR4T0
中天新聞頻道,http://122.117.71.103:8661/中天新闻.m3u8
中視新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv074
中視新聞臺,https://www.youtube.com/watch?v=TCnaIE_SAtM
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
半島國際新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=litv-ftv10
壹新聞,http://220.134.196.147:8501/http/61.219.99.20:8081/hls/66/808/ch24.m3u8
寰宇新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=litv-longturn14
寰宇新聞,http://220.134.196.147:8548/http/61.219.99.20:8081/hls/76/818/ch62.m3u8
寰宇新聞臺,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞臺灣臺,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv156
寰宇新聞臺灣臺,https://www.youtube.com/watch?v=w87VGpgd90U
年代新聞,http://220.134.196.147:8538/http/61.219.99.20:8081/hls/67/809/ch27.m3u8
年代新聞頻道,http://122.117.71.103:8659/年代新闻.m3u8
東森新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv152
東森新聞HD,http://220.134.196.147:8527/http/61.219.99.20:8081/hls/63/805/ch10.m3u8
東森新聞臺,https://www.youtube.com/watch?v=V1p33hqPrUk
東森新聞頻道,http://122.117.71.103:8660/东森新闻.m3u8
東森財經HD,http://220.134.196.147:8525/http/61.219.99.20:8081/hls/63/805/ch11.m3u8
東森財經新聞,http://breezy-audrie-zspace-7524863c.koyeb.app/live?token=leifeng&id=4gtv-4gtv153
東森財經新聞臺,https://www.youtube.com/watch?v=AEBeWMM1atA
東森財經新聞臺,https://www.youtube.com/watch?v=1I2iq41Akmo
東森財經頻道,http://122.117.71.103:8684/东森财经.m3u8
