
台湾,#genre#
中天新闻,p2p://142.54.189.229:2525/64de52a70006e20d01b906297b7d0f95.ts
中天新闻,http://5.44.249.130:5002/ts/8i2mwhruaecye9fa.ts
TVBS,p2p://142.54.189.229:2525/64ee8f86000f01404126cf5454652cbc.ts
TVBS新闻,p2p://142.54.189.229:2525/64df0c5d000a530d048e75f37b155008.ts
东森新闻,p2p://142.54.189.229:2525/64df0db3000d67790493aeaf65c56300.ts
三立新闻,p2p://142.54.189.229:2525/64df114a00089e6504a1b34e5ec80344.ts
三立新闻,p2p://142.54.189.227:2215/646f946a00001d8501985459609d0d8b.ts
三立台湾,p2p://142.54.189.229:2525/64df120c000d1ba704a4aa47660f072a.ts
台視新闻,p2p://142.54.189.229:2525/64df1280000382f804a66cf66f723cd5.ts
中視新闻,p2p://142.54.189.229:2525/64df41f1000a990f055fc03352b3517c.ts
年代新闻,p2p://142.54.189.229:2525/64df11830008ea4904a2921502394fe8.ts
華視新闻,p2p://142.54.189.229:2525/64df425800075d5a056151b0773f199c.ts
民视,p2p://142.54.189.229:2525/64ee9157000c6779412de71057993aba.ts
民视新闻台,p2p://142.54.189.229:2525/64f46a20000732005804b6f0026159f5.ts
公視,p2p://142.54.189.229:2525/66d5d3b70002d13d730469885db37cc5.ts
華視,p2p://142.54.189.229:2525/66d5d3ed0000f7fb73053bfb691d1ba8.ts
台視,p2p://142.54.189.229:2525/66d5d3720004a65173035c7d5dcd4ca9.ts
中視,p2p://142.54.189.229:2525/66d5d336000e5c337302749d42f63a32.ts
中天综合,p2p://142.54.189.227:2215/64706af500065ec704de64a959a666e7.ts
亚洲旅游,p2p://142.54.189.229:2525/64df458d0000b197056dd70234661fa7.ts
三立都会,p2p://142.54.189.229:2525/64df11b100009de604a343a26d5e011f.ts
纬来综合,p2p://142.54.189.229:2525/64df43e300075980056758a83a2b540c.ts
纬来日本,p2p://142.54.189.229:2525/64df443f00095d370568c085157977f8.ts
JET综合,p2p://142.54.189.227:2215/646fe8ca00036bdf02e1ebe52a0e4ada.ts
八大第一台,p2p://142.54.189.229:2525/64df428e000c6d3f056225e83e547c64.ts
八大戏剧,p2p://142.54.189.229:2525/64df42c10009db1b0562ec745e7901e2.ts
八大综艺,p2p://142.54.189.229:2525/64df42f20009ad300563abdc15e323c9.ts
纬来电影,p2p://142.54.189.229:2525/64df13210009342a04a8e3556bf668f8.ts
纬来体育,p2p://142.54.189.229:2525/64df434b000e4fa8056508ad7eb544f1.ts
纬来戏剧,p2p://142.54.189.229:2525/64df437200095ddd05659fbd043c428f.ts
纬来育乐,p2p://142.54.189.229:2525/64df43ac00074b2b056681d0209227db.ts
BBC,p2p://142.54.189.229:2525/64df446d0008ef2005697425049e4588.ts
CNN,p2p://142.54.189.229:2525/64df44980009ee7c056a1c5c030731c7.ts
国兴卫视,p2p://142.54.189.227:2215/64706d950003367704e8a4dd36602f23.ts
discovery,p2p://142.54.189.229:2525/64df5c0d000bf8fe05c5bde17ed0309e.ts
disney,p2p://142.54.189.229:2525/64df5c370009277b05c661456c657811.ts
starhd,p2p://142.54.189.227:2215/64706b5100074b0604dfcc476a451865.ts
max,p2p://142.54.189.229:2525/64df5bda0009868805c4f60d115c76bc.ts
卫视西片,p2p://142.54.189.229:2525/64df451b000e2b1f056c1d2d4c8a5a43.ts
AXN,p2p://142.54.189.229:2525/64df122d0005c00804a5294b00f52204.ts
HBO,p2p://142.54.189.229:2525/64df12580002b58d04a5d077677d6597.ts
HBOHITS,p2p://142.54.189.229:2525/64df45eb000de73e056f498e2cb767d8.ts
HBO Family,p2p://142.54.189.229:2525/64df46550004bc4d0570e54c39ee24dd.ts
HBOSignature,p2p://142.54.189.229:2525/64df46220007117705701eb010a05e11.ts
MOMO,p2p://142.54.189.229:2525/64df44f10007b01e056b776826a703aa.ts
非凡商业,p2p://142.54.189.229:2525/64df45be00022c98056e96c83cf40f33.ts
foxsport2,p2p://142.54.189.227:2215/64706cdb0007d9d304e5cf7644fe45aa.ts
东森电影,p2p://142.54.189.229:2525/64df13a000050e5604aad25477514fbe.ts
东森戏剧,p2p://142.54.189.229:2525/64df12c40004572504a776c51f557ae3.ts
卫视电影,p2p://142.54.189.229:2525/64df12f700010de304a83d325efd0c7f.ts
好莱坞,p2p://142.54.189.229:2525/64df134600097ad804a973ed5c03697a.ts
foxsport2,p2p://142.54.189.227:2215/64706cdb0007d9d304e5cf7644fe45aa.ts
