綜合台,#genre#

MUCH TV,http://122.117.71.103:8651/http/61.222.53.250%3A8081/hls/72/814/ch45.m3u8
MUCH TV,http://211.23.114.106:9328/http/61.219.99.20%3A8081/hls/72/814/ch45.m3u8
MUCH TV,http://220.134.196.147:8530/http/61.219.99.20%3A8081/hls/72/814/ch45.m3u8
TVBS HD,http://122.117.71.103:8663/http/61.222.53.250%3A8081/hls/75/817/ch58.m3u8
TVBS HD,http://211.23.114.106:9344/http/61.219.99.20%3A8081/hls/75/817/ch58.m3u8
TVBS HD,http://220.134.196.147:8570/http/61.219.99.20%3A8081/hls/75/817/ch58.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS歡樂HD,http://122.117.71.103:8654/http/61.222.53.250%3A8081/hls/65/807/ch17.m3u8
TVBS歡樂HD,http://211.23.114.106:8553/http/61.219.99.20%3A8081/hls/65/807/ch17.m3u8
TVBS歡樂HD,http://220.134.196.147:8522/http/61.219.99.20%3A8081/hls/65/807/ch17.m3u8
Taiwan Plus,http://122.117.71.103:8658/http/61.222.53.250%3A8081/hls/87/80/PtsTaiwanPlus4max.m3u8
Taiwan Plus,http://220.134.196.147:8524/http/61.219.99.20%3A8081/hls/87/80/PtsTaiwanPlus4max.m3u8
momo 綜合台,http://122.117.71.103:8694/http/61.222.53.250%3A8081/hls/76/818/momo_max.m3u8
momo綜合台,http://211.23.114.106:8511/http/59.120.8.187%3A8081/hls/76/818/momo_max.m3u8
momo綜合台,http://220.134.196.147:8575/http/59.120.8.187%3A8081/hls/76/818/momo_max.m3u8
三立台灣HD,http://122.117.71.103:8643/http/61.222.53.250%3A8081/hls/65/807/ch20.m3u8
三立台灣HD,http://211.23.114.106:9378/http/61.219.99.20%3A8081/hls/65/807/ch20.m3u8
三立台灣HD,http://220.134.196.147:8513/http/61.219.99.20%3A8081/hls/65/807/ch20.m3u8
