新闻,#genre#
中天新闻,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv009
TVBS新闻,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv072
东森新闻台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv152
民视新闻台,http://154.219.113.217:8080/sub?token=112233&id=litv-ftv13
镜电视新闻台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv075
非凡新闻,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv010
台视新闻台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv051
华视新闻,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv052
中视新闻台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv074
寰宇新闻台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn14
寰宇新闻台湾台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv156
半岛国际新闻,http://154.219.113.217:8080/sub?token=112233&id=litv-ftv10
美国之音,http://154.219.113.217:8080/sub?token=112233&id=litv-ftv03

财经,#genre#
东森财经新闻台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv153
非凡商业,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv048
台视财经台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv056
第1商业台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv104

综合,#genre#
TVBS,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv073
台视,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv066
中视,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv040
华视,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv041
民视,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv002
民视,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv155
民视台湾台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv001
民视第一台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv003
中天亚洲,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv109
靖天综合台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv046
靖天国际台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv063
靖天资讯台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv065
客家电视台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv043
ARIRANG,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv079
国会频道1,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv084
国会频道2,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv085

综艺,#genre#
TVBS欢乐台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv068
TVBS精采台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv067
ELTV娱乐,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv070
民视综艺台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv004
八大综艺,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv039
八大精彩,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv034
靖天欢乐台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv054
靖天育乐台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv062
中视菁采台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv064
猪哥亮歌厅秀,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv006

电影,#genre#
影迷数位电影台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv011
amc电影台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv017
靖天电影台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv061
靖天映画,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv055
采昌影剧台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv049
民视影剧台,http://154.219.113.217:8080/sub?token=112233&id=litv-ftv09
龙华电影台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn03
龙华洋片台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn02

戏剧,#genre#
公视戏剧,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv042
靖洋戏剧台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv045
靖天戏剧台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv058
中视经典台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv080
靖天日本台,http://154.219.113.217:8080/sub?token=112233&id=4gtv-4gtv047
龙华戏剧台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn18
龙华日韩台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn11
龙华偶像台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn12
龙华经典台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn21
台湾戏剧台,http://154.219.113.217:8080/sub?token=112233&id=litv-longturn22

体育,#genre#
