新聞台,#genre#
TVBS新聞臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv072/index.m3u8
中天新聞臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv009/index.m3u8
中天新聞臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv009/index.m3u8
中天新聞臺,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv009/index.m3u8
中視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv074/index.m3u8
中視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv074/index.m3u8
中視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv074/index.m3u8
寰宇全視界,http://xn--elt51t.azip.dpdns.org:5008/ofiii204/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn14/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn14/index.m3u8
寰宇新聞,http://xn--elt51t.azip.dpdns.org:5008/of-litv-longturn14/index.m3u8
寰宇新聞臺灣臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv156/index.m3u8
寰宇新聞臺灣臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv156/index.m3u8
寰宇新聞臺灣臺,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv156/index.m3u8
寰宇財經,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv158/index.m3u8
寰宇財經,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv158/index.m3u8
東森新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv152/index.m3u8
東森新聞,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv152/index.m3u8
東森財經新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv153/index.m3u8
東森財經新聞,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv153/index.m3u8
民視新聞,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv13/index.m3u8
民視新聞,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv13/index.m3u8
第1商業臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv104/index.m3u8
第1商業臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv104/index.m3u8
臺灣|TVBS News 新聞臺,https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
臺灣|中天新聞 HD,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
臺灣|中視新聞臺,https://smart.pendy.dpdns.org/Smart.php?id=zhongshinews_twn
臺灣|寰宇新聞臺,https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
臺灣|寰宇財經,https://smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
臺灣|年代新聞,https://smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
臺灣|東森新聞 ETTV News,https://smart.pendy.dpdns.org/Smart.php?id=ettvnews
臺灣|東森財經新聞 ETTV Business,https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
臺灣|民視新聞臺 FTV News,https://smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
臺灣|臺視新聞臺,https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
臺灣|非凡新聞臺,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn
臺視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv051/index.m3u8
臺視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv051/index.m3u8
臺視財經臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv056/index.m3u8
華視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv052/index.m3u8
華視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv052/index.m3u8
華視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv052/index.m3u8
鏡電視新聞臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv075/index.m3u8
非凡商業,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv048/index.m3u8
非凡新聞,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv010/index.m3u8
體育,#genre#
DAZN,https://smart.pendy.dpdns.org/beesport-2025-proxy.php?id=DAZN_Live_TV

博斯無限I,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn10/index.m3u8
博斯無限II,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn13/index.m3u8
博斯網球,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn09/index.m3u8
博斯運動I,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn07/index.m3u8
博斯運動II,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn08/index.m3u8
博斯高球I,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn05/index.m3u8
博斯高球II,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn06/index.m3u8
博斯魅力,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn04/index.m3u8
時尚運動X,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv014/index.m3u8
時尚運動X,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv014/index.m3u8
智林體育,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv101/index.m3u8
智林體育,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv101/index.m3u8
臺灣|博斯無限,https://smart.pendy.dpdns.org/Smart.php?id=bosiunlimited_twn
臺灣|博斯網球 HD,https://smart.pendy.dpdns.org/Smart.php?id=bositennis_twn
臺灣|博斯運動 1,https://smart.pendy.dpdns.org/Smart.php?id=bosisport1_twn
臺灣|博斯運動 2,https://smart.pendy.dpdns.org/Smart.php?id=bosisport2_twn
臺灣|博斯高球2 HD,https://smart.pendy.dpdns.org/Smart.php?id=bosigolf2_twn
臺灣|緯來體育臺,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
體育頻道|Skysports Main Event,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmain
體育頻道|愛爾達體育2臺,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
體育頻道|愛爾達體育3臺,https://smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
綜合台1,#genre#

Smart知識臺,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn19/index.m3u8
Smart知識臺,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn19/index.m3u8
TVBS HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv073/index.m3u8
TVBS HD,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv073/index.m3u8
TVBS歡樂臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv068/index.m3u8
TVBS歡樂臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv068/index.m3u8
TVBS精采臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv067/index.m3u8
TVBS精采臺,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv067/index.m3u8
TVBS綜藝臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live087/index.m3u8
TVBS臺劇臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live088/index.m3u8
TVBS食尚玩家,http://xn--elt51t.azip.dpdns.org:5008/ofiii31/index.m3u8
三立綜合臺,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live207/index.m3u8
兒童頻道|Momo TV,https://smart.pendy.dpdns.org/Smart.php?id=momo1_twn
八大綜藝,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv039/index.m3u8
