新聞台,#genre#
TVBS新聞,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv072
中天新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv009
中視新聞,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv074
寰宇新聞台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn14
寰宇新聞台灣台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv156
寰宇財經台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv158
東森新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv152
東森財經新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv153
民視新聞台,http://xtvantsc.xyz/litv_ts.php?id=litv-ftv13
第1商業台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv104
台視新聞,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv051
台視財經,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv056
華視新聞,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv052
鏡電視新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv075
非凡商業台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv048
非凡新聞台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv010
體育,#genre#
博斯無限二台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn13
博斯無限台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn10
博斯網球檯,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn09
博斯運動一台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn07
博斯運動二台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn08
博斯高球二台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn06
博斯高球檯,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn05
博斯魅力台,http://xtvantsc.xyz/litv_ts.php?id=litv-longturn04
時尚運動X,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv014
智林體育台,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv101
綜合台,#genre#
