央视频道,#genre#

CCTV-1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV-1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV-2,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv2
CCTV-3,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv3
CCTV-4,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv4
CCTV-5,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5
CCTV-5+,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5p
CCTV-6,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv6
CCTV-7,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv7
CCTV-8,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv8
CCTV-9,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv9
CCTV-10,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv10
CCTV-11,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv11
CCTV-12,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv12
CCTV-13,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv13
CCTV-14,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv14
CCTV-15,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv15
CCTV-16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV-17,http://www.erbao1981.top:8188/udp/239.76.245.239:1234


CCTV-1,http://60.223.224.176:8888/newlive/live/hls/2/live.m3u8
CCTV-2,http://60.223.224.176:8888/newlive/live/hls/3/live.m3u8
CCTV-3,http://60.223.224.176:8888/newlive/live/hls/4/live.m3u8
CCTV-4,http://60.223.224.176:8888/newlive/live/hls/5/live.m3u8
CCTV-5,http://60.223.224.176:8888/newlive/live/hls/6/live.m3u8
CCTV-5+,http://60.223.224.176:8888/newlive/live/hls/7/live.m3u8
CCTV-6,http://60.223.224.176:8888/newlive/live/hls/8/live.m3u8
CCTV-7,http://60.223.224.176:8888/newlive/live/hls/9/live.m3u8
CCTV-8,http://60.223.224.176:8888/newlive/live/hls/10/live.m3u8
CCTV-9,http://60.223.224.176:8888/newlive/live/hls/11/live.m3u8
CCTV-10,http://60.223.224.176:8888/newlive/live/hls/12/live.m3u8
CCTV-11,http://60.223.224.176:8888/newlive/live/hls/13/live.m3u8
CCTV-12,http://60.223.224.176:8888/newlive/live/hls/14/live.m3u8
CCTV-13,http://60.223.224.176:8888/newlive/live/hls/15/live.m3u8
CCTV-14,http://60.223.224.176:8888/newlive/live/hls/16/live.m3u8
CCTV-15,http://60.223.224.176:8888/newlive/live/hls/17/live.m3u8
CCTV-16,http://116.162.6.192/61.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226095/index.m3u8




CCTV-1,http://222.186.57.121:22222/php/migu.php?id=cctv1&uid=$咪咕
CCTV-2,http://222.186.57.121:22222/php/migu.php?id=cctv2&uid=$咪咕
CCTV-3,http://222.186.57.121:22222/php/migu.php?id=cctv3&uid=$咪咕
CCTV-4,http://222.186.57.121:22222/php/migu.php?id=cctv4&uid=$咪咕
CCTV-4欧洲,http://222.186.57.121:22222/php/migu.php?id=cctv4o&uid=$咪咕
CCTV-4美洲,http://222.186.57.121:22222/php/migu.php?id=cctv4a&uid=$咪咕
CCTV-5,http://222.186.57.121:22222/php/migu.php?id=cctv5&uid=$咪咕
CCTV-5+,http://222.186.57.121:22222/php/migu.php?id=cctv5p&uid=$咪咕
CCTV-6,http://222.186.57.121:22222/php/migu.php?id=cctv6&uid=$咪咕
CCTV-7,http://222.186.57.121:22222/php/migu.php?id=cctv7&uid=$咪咕
CCTV-8,http://222.186.57.121:22222/php/migu.php?id=cctv8&uid=$咪咕
CCTV-9,http://222.186.57.121:22222/php/migu.php?id=cctv9&uid=$咪咕
CCTV-10,http://222.186.57.121:22222/php/migu.php?id=cctv10&uid=$咪咕
CCTV-11,http://222.186.57.121:22222/php/migu.php?id=cctv11&uid=$咪咕
CCTV-12,http://222.186.57.121:22222/php/migu.php?id=cctv12&uid=$咪咕
CCTV-13,http://222.186.57.121:22222/php/migu.php?id=cctv13&uid=$咪咕
CCTV-14,http://222.186.57.121:22222/php/migu.php?id=cctv14&uid=$咪咕
CCTV-15,http://222.186.57.121:22222/php/migu.php?id=cctv15&uid=$咪咕
CCTV-17,http://222.186.57.121:22222/php/migu.php?id=cctv17&uid=$咪咕

CHC高清电影,http://php.jdshipin.com:8880/cqyx.php?id=chcgqdyhd
CHC动作电影,http://php.jdshipin.com:8880/cqyx.php?id=chcdzdyhd
CHC家庭影院,http://php.jdshipin.com:8880/cqyx.php?id=chcjtyyhd




CCTV-1,http://119.129.172.80:8081/hls/1/index.m3u8
CCTV-2,http://119.129.172.80:8081/hls/2/index.m3u8
CCTV-3,http://119.129.172.80:8081/hls/3/index.m3u8
CCTV-4,http://119.129.172.80:8081/hls/4/index.m3u8
CCTV-5,http://119.129.172.80:8081/hls/5/index.m3u8
CCTV-5+,http://119.129.172.80:8081/hls/16/index.m3u8
CCTV-6,http://119.129.172.80:8081/hls/6/index.m3u8
CCTV-7,http://119.129.172.80:8081/hls/7/index.m3u8
CCTV-8,http://119.129.172.80:8081/hls/8/index.m3u8
CCTV-9,http://119.129.172.80:8081/hls/9/index.m3u8
CCTV-10,http://119.129.172.80:8081/hls/10/index.m3u8
CCTV-11,http://119.129.172.80:8081/hls/11/index.m3u8
CCTV-12,http://119.129.172.80:8081/hls/12/index.m3u8
CCTV-13,http://119.129.172.80:8081/hls/13/index.m3u8
CCTV-14,http://119.129.172.80:8081/hls/14/index.m3u8
CCTV-15,http://119.129.172.80:8081/hls/15/index.m3u8
CCTV-17,http://119.129.172.80:8081/hls/17/index.m3u8


CCTV-1,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078203.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024075403.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024068503.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078303.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078403.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://123.184.28.3:80/hlslive-tx-cdn.ysp.cctv.cn/512/2024078003.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8?key=txiptv&playlive=1&authid=0#http://bkbktlivecloud-cdn.ysp.cctv.cn/sx/2022574303.m3u8?key=txiptv&playlive=1&authid=0
