新聞臺,#genre#

中視,http://49.232.143.177:80/pyxg/export.php?id=22&key=****
華視,http://49.232.143.177:80/pyxg/export.php?id=23&key=****
民視,http://49.232.143.177:80/pyxg/export.php?id=24&key=****
民視台灣,http://49.232.143.177:80/pyxg/export.php?id=25&key=****
民視第一,http://49.232.143.177:80/pyxg/export.php?id=26&key=****
台視,http://49.232.143.177:80/pyxg/export.php?id=27&key=****
台視綜合,http://49.232.143.177:80/pyxg/export.php?id=28&key=****
公視,http://49.232.143.177:80/pyxg/export.php?id=29&key=****
中天綜合,http://49.232.143.177:80/pyxg/export.php?id=30&key=****
八大綜合,http://49.232.143.177:80/pyxg/export.php?id=31&key=****
八大第一,http://49.232.143.177:80/pyxg/export.php?id=32&key=****
東森綜合,http://49.232.143.177:80/pyxg/export.php?id=33&key=****
东森電影,http://49.232.143.177:80/pyxg/export.php?id=34&key=****
緯來電影,http://49.232.143.177:80/pyxg/export.php?id=35&key=****
三立都會,http://49.232.143.177:80/pyxg/export.php?id=36&key=****
三立台灣,http://49.232.143.177:80/pyxg/export.php?id=37&key=****
龍華偶像,http://49.232.143.177:80/pyxg/export.php?id=38&key=****
龍華電影,http://49.232.143.177:80/pyxg/export.php?id=39&key=****
龍華經典,http://49.232.143.177:80/pyxg/export.php?id=40&key=****
龍翔時代,http://49.232.143.177:80/pyxg/export.php?id=41&key=****
好萊塢電影,http://49.232.143.177:80/pyxg/export.php?id=42&key=****
TvbS,http://49.232.143.177:80/pyxg/export.php?id=43&key=****
中天新聞,http://49.232.143.177:80/pyxg/export.php?id=44&key=****
東森新聞,http://49.232.143.177:80/pyxg/export.php?id=45&key=****
環宇新聞,http://49.232.143.177:80/pyxg/export.php?id=46&key=****
華視新聞,http://49.232.143.177:80/pyxg/export.php?id=47&key=****
中視新聞,http://49.232.143.177:80/pyxg/export.php?id=48&key=****
台視新聞,http://49.232.143.177:80/pyxg/export.php?id=49&key=****
民視新聞,http://49.232.143.177:80/pyxg/export.php?id=50&key=****
TVBS 新聞,http://49.232.143.177:80/pyxg/export.php?id=51&key=****
三立新聞,http://49.232.143.177:80/pyxg/export.php?id=52&key=****
年代新聞,http://49.232.143.177:80/pyxg/export.php?id=53&key=****
壹新聞,http://49.232.143.177:80/pyxg/export.php?id=54&key=****
非凡新聞,http://49.232.143.177:80/pyxg/export.php?id=55&key=****
鏡新聞,http://49.232.143.177:80/pyxg/export.php?id=56&key=****
環宇台灣,http://49.232.143.177:80/pyxg/export.php?id=57&key=****
緯來體育,http://49.232.143.177:80/pyxg/export.php?id=58&key=****
NBATV,http://49.232.143.177:80/pyxg/export.php?id=59&key=****



TVBS新聞,http://4t.537224.xyz/live/media-live072#http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS新聞,http://rihou.cc:555/tv/[FY]tvbS新聞
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
TVBS 新聞 HD,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0c4OEthamotTmx6cTJab3Q0aUtXbFFNckF1ekx5VzFnd3VQWmRad2dTY3p1X2xZY3llTmp5NW1VdEJUblduNl9SUmpXMXlTdk9UcWVJUmpkUTRSQ1JVWnZCa3Y5Q01wU1hyQlhLWU1PbVNUaW90Zy12blp2TUQ3eExFbEhDMTNQaHVoZDRDNzJNWWZsUnBwTkNTTXBkLWt4T2NGRVRyb21ZMVIySmtmOTQwMlBDM2t0OEdxTEVyY2V3ZXBzVW16cV9WcE1rWlg1SWY5UzN3OVBHcVJvenVnLm0zdTg/dT0xNzU3MTIzODE5
TVBS 新聞,https://stream1.freetv.fun/tvbs-news-1.m3u8
TVBS新聞,http://211.23.125.95:50007/4gtv-4gtv072/index.m3u8?proxy=true
東森新聞,http://rihou.cc:555/tv/東森新聞
東森新聞,http://208.87.242.79/livehttpplay?channel_id=20082
東森新聞,http://211.72.174.95:8138/0.ts
東森財經新聞,http://211.23.125.95:50007/4gtv-4gtv153/index.m3u8?proxy=true
東森新聞,http://211.23.125.95:50007/4gtv-4gtv152/index.m3u8?proxy=true
華視新聞,http://74.91.26.218:82/live/ctsnews.m3u8
華視新聞 HD,http://123.51.136.80:8319/0.ts
華視新聞資訊,http://211.23.125.95:50007/4gtv-4gtv052/index.m3u8?proxy=true
中視新聞,http://74.91.26.218:82/live/ctvnews.m3u8
中視新聞HD,http://211.23.125.95:50007/4gtv-4gtv074/index.m3u8?proxy=true
中視新聞,http://123.51.136.80:8302/0.ts
臺視新聞,http://rihou.cc:555/tv/臺視新聞
