YouTube直播,#genre#



TVBSNEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
东森新闻台,https://www.youtube.com/watch?v=V1p33hqPrUk
东森财经新闻台,https://www.youtube.com/watch?v=AEBeWMM1atA
东森财经新闻台,https://www.youtube.com/watch?v=1I2iq41Akmo
华视新闻台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中视新闻台,https://www.youtube.com/watch?v=TCnaIE_SAtM
台视新闻台,https://www.youtube.com/watch?v=xL0ch83RAK8
民视新闻台,https://www.youtube.com/watch?v=ylYJSBUgaMA
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
三立 iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
三立新闻台,https://www.youtube.com/watch?v=MV9mI0GChwo
中天新闻台,https://www.youtube.com/watch?v=vr3XyVCR4T0
中天CTI+,https://www.youtube.com/watch?v=DM_PEM8GrIg
寰宇新闻台,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新闻台湾台,https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
台視,https://www.youtube.com/watch?v=uDqQo8a7Xmk
公视,https://www.youtube.com/watch?v=C6gYqSHLRw4
公视台语台,https://www.youtube.com/watch?v=6KlRR_DGhmI
