新聞台,#genre#
TVBS News 新聞臺,https://iptv.catvod.com/catvod_com.php?id=tvbs_n&token=82e66ac89b5adcc59ad704dc9bc68dce224c5d0afe1ccdfb39498160a6f872b2%3A1757763387
中天新聞 HD,https://iptv.catvod.com/catvod_com.php?id=ctinews&token=8e1eef6e7763cf9de81251985529e5f25bd1097192faaa85a3a7561af0869ad1%3A1757763387
中視新聞臺,https://iptv.catvod.com/catvod_com.php?id=zhongshinews_twn&token=2496143d5144b086b32f07a7769b5d5d25701aba9e225548e115468056f11b3a%3A1757763387
壹新聞,https://iptv.catvod.com/catvod_com.php?id=yinews&token=b3c1b396f8e03219151003ceb485b3c97fedd9bfba5e3e60539f04c6c0d4e0bb%3A1757763387
寰宇新聞臺,https://iptv.catvod.com/catvod_com.php?id=huanyuxinwen_twn&token=6d5f10ac3ae875172ba93268c4ad89f50ee1d2bff15e40ad2159825ccb2f72e3%3A1757763387
寰宇財經,https://iptv.catvod.com/catvod_com.php?id=huanyutaiwan_twn&token=2ef0f7429403a4059b9ce5a2f301565440cb1064fbefb55b9e31c52128e30e2b%3A1757763387
年代新聞,https://iptv.catvod.com/catvod_com.php?id=niandainews_twn&token=dd3246d29fae195efd742c7ef85cb003004c065056d23ac87e41258925092418%3A1757763387
東森新聞 ETTV News,https://iptv.catvod.com/catvod_com.php?id=ettvnews&token=08f527e9359ec06b008e11ee93b61440eb796510b3188014e3a770683a5f11ce%3A1757763387
東森財經新聞 ETTV Business,https://iptv.catvod.com/catvod_com.php?id=ettvcaijing_twn&token=1efdcbc9ae6115f00b135688b082b87ab5f9845e385ee3bbfc5fb560ba6f2e1a%3A1757763387
民視新聞臺 FTV News,https://iptv.catvod.com/catvod_com.php?id=ftvnew_taiwan&token=5799703e0c6bc11d60dfe9df85fc5d49c5df22684f696d0de5513ef9995259ac%3A1757763387
臺視新聞臺,https://iptv.catvod.com/catvod_com.php?id=ttvnews_twn&token=e256a665878b7eb3f765b6d8ecf0d6cc6384f9c827bef049ac71e476fd46a076%3A1757763387
非凡新聞臺,https://iptv.catvod.com/catvod_com.php?id=feifannews_twn&token=4463ee42fe7ace257661f44e35583871865da350cab8d10dbc991a43d5217039%3A1757763387
體育,#genre#
DAZN 1,https://iptv.catvod.com/catvod_com.php?id=dazn1_twn&token=719c1c57ecfd57cb6ede328a99f2f7729bdaff594deefb4f7ac186c9068e928c%3A1757763387
DAZN 2,https://iptv.catvod.com/catvod_com.php?id=dazn2_twn&token=f79e3a5d91945650c36e09d67d0bc724b44a011991bd9fe8d0dc761aa0b6f015%3A1757763387
Skysports Main Event,https://iptv.catvod.com/catvod_com.php?id=tiankongmain&token=89857a86d4c4fcf8e2d642d8e4ed21a0a32960c2ab6f08dc977ab1e1ad20961e%3A1757763387
博斯無限,https://iptv.catvod.com/catvod_com.php?id=bosiunlimited_twn&token=e62619e8126530187daad289fed9c40ac2752ac70bbba72410beeebdc20bbf3f%3A1757763387
博斯網球 HD,https://iptv.catvod.com/catvod_com.php?id=bositennis_twn&token=97bfc29f3d431fa0d2557394d9617bf3a7b0c9f1862e7a02bf03a4a32ebfe9c0%3A1757763387
博斯運動 1,https://iptv.catvod.com/catvod_com.php?id=bosisport1_twn&token=8713f98ab56ab00818c886f4a7223ca696fbb9689d3e10ce8f2f82e8de84a774%3A1757763387
博斯運動 2,https://iptv.catvod.com/catvod_com.php?id=bosisport2_twn&token=90e52340a5702cd40abcfa281a99885cd327f4c5d3408d9ffb73a3a0700f8cbd%3A1757763387
博斯高球2 HD,https://iptv.catvod.com/catvod_com.php?id=bosigolf2_twn&token=646e728df29d80baf6eb4e3c459bdb1bdce84608741210b250e71d2302a352e3%3A1757763387
愛爾達體育1臺,https://iptv.catvod.com/catvod_com.php?id=eltasport_twn&token=71a32dcea1585b0169dd375927f8f94875bcd3a4ff1fb11cfb0d06b535a20863%3A1757763387
