新聞台,#genre#
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
中天新聞,http://222.128.55.152:9080/live/fc.m3u8
亞洲新聞,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
東森新聞美洲臺,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民視新聞臺,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民視新聞臺,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞臺,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
臺視新聞,http://222.128.55.152:9080/live/ts.m3u8
臺視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
臺視新聞臺,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
臺視新聞臺,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
臺視新聞臺,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
綜合台1,#genre#
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亞洲臺,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亞洲臺,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
八大綜合,http://61.221.215.25:8800/hls/56/index.m3u8
東森超視34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
綜合台2,#genre#
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
龍華經典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
電影,#genre#
AMC電影,http://61.221.215.25:8800/hls/43/index.m3u8
CINEMAX,http://125.227.210.55:8151/VideoInput/play.ts
HBO,http://125.227.210.55:8153/VideoInput/play.ts
戲劇,#genre#
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
龍華偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華戲劇,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龍華日韓,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
兒童,#genre#
CN卡通頻道,http://125.227.210.55:8167/VideoInput/play.ts
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
音樂旅遊生活,#genre#
亞洲旅遊頻道,http://37.27.111.214:8080/live/10/hls.m3u8
探索,#genre#
Discovery 頻道,http://125.227.210.55:8154/VideoInput/play.ts
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
探索頻道,http://61.221.215.25:8800/hls/1/index.m3u8
