綜合台,#genre#
AMC HD,https://hls-gateway.vpstv.net/streams/477058.m3u8
Boomerang臺灣,https://hls-gateway.vpstv.net/streams/708786.m3u8
CCM 天映經典,https://hls-gateway.vpstv.net/streams/476310.m3u8
ELTA綜合 HD,https://hls-gateway.vpstv.net/streams/477041.m3u8
GINX Esport TV,https://hls-gateway.vpstv.net/streams/708954.m3u8
Global Trekke臺灣,https://hls-gateway.vpstv.net/streams/708941.m3u8
INULTRA HD,https://hls-gateway.vpstv.net/streams/709061.m3u8
LUXE TV Channel,https://hls-gateway.vpstv.net/streams/708943.m3u8
MOMOTV HD,https://hls-gateway.vpstv.net/streams/476239.m3u8
MOMO綜合臺,https://hls-gateway.vpstv.net/streams/488940.m3u8
MagellanTV,https://hls-gateway.vpstv.net/streams/709062.m3u8
Pet Club TV,https://hls-gateway.vpstv.net/streams/708939.m3u8
ROCK Action 臺灣,https://hls-gateway.vpstv.net/streams/708935.m3u8
ROCK Entertainment,https://hls-gateway.vpstv.net/streams/708933.m3u8
ROCK Extreme,https://hls-gateway.vpstv.net/streams/708934.m3u8
Smart知識臺,https://hls-gateway.vpstv.net/streams/708952.m3u8
TVBS HD,https://hls-gateway.vpstv.net/streams/708925.m3u8
TVBS歡樂臺,https://hls-gateway.vpstv.net/streams/477068.m3u8
TVBS精彩臺,https://hls-gateway.vpstv.net/streams/477075.m3u8
TVBS綜合,https://hls-gateway.vpstv.net/streams/477042.m3u8
TVBS綜藝臺,https://hls-gateway.vpstv.net/streams/708955.m3u8
TVBS臺劇臺,https://hls-gateway.vpstv.net/streams/708956.m3u8
tvN臺灣,https://hls-gateway.vpstv.net/streams/708937.m3u8
三立綜合臺,https://hls-gateway.vpstv.net/streams/476257.m3u8
三立臺灣台 HD,https://hls-gateway.vpstv.net/streams/477050.m3u8
三立都會臺 HD,https://hls-gateway.vpstv.net/streams/476232.m3u8
中天亞洲臺,https://hls-gateway.vpstv.net/streams/476241.m3u8
中天娛樂 HD,https://hls-gateway.vpstv.net/streams/476996.m3u8
中天綜合 HD,https://hls-gateway.vpstv.net/streams/477084.m3u8
人間衛視 HD,https://hls-gateway.vpstv.net/streams/488957.m3u8
佛衛慈悲臺,https://hls-gateway.vpstv.net/streams/708961.m3u8
八大娛樂臺 HD,https://hls-gateway.vpstv.net/streams/477064.m3u8
八大第1臺 HD,https://hls-gateway.vpstv.net/streams/477071.m3u8
八大精彩臺,https://hls-gateway.vpstv.net/streams/477035.m3u8
八大綜合臺 HD,https://hls-gateway.vpstv.net/streams/477069.m3u8
八大綜藝臺,https://hls-gateway.vpstv.net/streams/708948.m3u8
原住民頻道,https://hls-gateway.vpstv.net/streams/476228.m3u8
唯心電視,https://hls-gateway.vpstv.net/streams/709571.m3u8
國興衛視,https://hls-gateway.vpstv.net/streams/476971.m3u8
壹綜合 HD,https://hls-gateway.vpstv.net/streams/709284.m3u8
大愛二臺 HD,https://hls-gateway.vpstv.net/streams/493133.m3u8
大愛電視 HD,https://hls-gateway.vpstv.net/streams/477082.m3u8
天映頻道,https://hls-gateway.vpstv.net/streams/636710.m3u8
好消息,https://hls-gateway.vpstv.net/streams/476227.m3u8
好消息電視2臺,https://hls-gateway.vpstv.net/streams/708962.m3u8
客家電視臺 HD,https://hls-gateway.vpstv.net/streams/476229.m3u8
愛爾達娛樂臺HD,https://hls-gateway.vpstv.net/streams/708922.m3u8
搜索EVE,https://hls-gateway.vpstv.net/streams/476251.m3u8
搜索亞洲,https://hls-gateway.vpstv.net/streams/476238.m3u8
數位影迷紀實HD,https://hls-gateway.vpstv.net/streams/708908.m3u8
東森亞洲衛視 HD,https://hls-gateway.vpstv.net/streams/476264.m3u8
東森綜合 HD,https://hls-gateway.vpstv.net/streams/476987.m3u8
東森購物1,https://hls-gateway.vpstv.net/streams/488987.m3u8
東森購物2,https://hls-gateway.vpstv.net/streams/488988.m3u8
東森購物3,https://hls-gateway.vpstv.net/streams/488989.m3u8
