
綜合台,#genre#

Smart知識臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=Smart知识台
緯來日本,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=纬来日本
緯來育樂,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=纬来育乐
國興衛視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=国兴卫视

ELTA綜合,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=ELTA综合
JET綜合臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=JET综合台
三立綜合臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立综合台
中天綜合,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=中天综合
八大綜合臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大综合台
靖天綜合臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天综合台
高點綜合,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=高点综合

CTI+中天2臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=CTI+中天2台
ELTA娛樂,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=ELTA娱乐
ELTA日韓,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=ELTA日韩

LIVE三立,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=LIVE三立
LUXETV,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=LUXETV

TVBSHD,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=TVBSHD
TVBS歡樂臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=TVBS欢乐台
TVBS精采臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=TVBS精采台

三立國際臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立国际台

三立臺灣台,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立台湾台
三立都會臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立都会台
中天娛樂,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=中天娱乐

八大娛樂臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大娱乐台
八大第一臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大第一台
八大精彩臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大精彩台

原住民頻道,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=原住民频道

客家電視臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=客家电视台
年代Much,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=年代Much
東森中國臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东森中国台
東森美洲,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东森美洲
東森美洲衛視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东森美洲卫视
東森超視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东森超视
東森超視美洲,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东森超视美洲
東風衛視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东风卫视

臺灣Plus,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台湾Plus
華藝MBC綜合臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=華藝MBC綜合台
豬哥亮歌廳秀,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=猪哥亮歌厅秀
霹靂臺灣台,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=霹雳台湾台
靖天國際臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天国际台
靖天日本臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天日本台
靖天映畫臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天映画台
靖天歡樂臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天欢乐台

靖天育樂臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天育乐台
韓國娛樂臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=韩国娱乐台

龍華日韓,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华日韩
龍華經典,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华经典

新聞,#genre#
CTS華視新聞資訊,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=CTS华视新闻资讯
TVBSNEWS,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=TVBSNEWS
TVBS新聞臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=TVBS新闻台
三立iNEWS,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立iNEWS
三立新聞臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立新闻台
中天新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=中天新闻
中視新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=中视新闻
公視新聞網,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=公视新闻网
壹新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=壹新闻
寰宇新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=寰宇新闻
寰宇新聞臺灣,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=寰宇新闻台湾
寰宇財經,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=寰宇财经
年代新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=年代新闻
民視新聞臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视新闻台
臺視新聞HD,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台视新闻HD
臺視財經,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台视财经
鏡新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=鏡新闻
非凡商業,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=非凡商业
非凡新聞,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=非凡新闻

體育,#genre#
Z頻道,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=Z频道
纬来体育,http://api.mytv666.top/api/fh6.php?t=体育频道&id=纬来体育
ELTA体育1,http://api.mytv666.top/api/fh6.php?t=体育频道&id=ELTA体育1
ELTA体育2,http://api.mytv666.top/api/fh6.php?t=体育频道&id=ELTA体育2
ELTA体育3,http://api.mytv666.top/api/fh6.php?t=体育频道&id=ELTA体育3
ELTA体育|4|,http://api.mytv666.top/api/fh6.php?t=体育频道&id=ELTA体育|4|
博斯运动1,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯运动1
博斯运动2,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯运动2
博斯高球1,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯高球1
博斯高球2,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯高球2
博斯网球,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯网球
博斯无限,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯无限
博斯无限2,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯无限2
博斯魅力,http://api.mytv666.top/api/fh6.php?t=体育频道&id=博斯魅力
智林体育台,http://api.mytv666.top/api/fh6.php?t=体育频道&id=智林体育台
TRACESportStars,http://api.mytv666.top/api/fh6.php?t=体育频道&id=TRACESportStars


四台,#genre#
中視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=中视
中視經典,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=中视经典
公視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=公视
公視臺語臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=公视台语台
小公視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=小公视
民視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视
民視第一臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视第一台
民視綜藝臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视综艺台
民視臺灣台,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视台湾台
臺視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台视
臺視綜合,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台视综合
華視,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=华视

電影,#genre#
AXN頻道,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=AXN頻道
CINEMAX,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=CINEMAX
HBO,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=HBO
HBOHD,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=HBOHD
HBO原創,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=HBO原创
HBO家庭,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=HBO家庭
HBO強檔,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=HBO强档
amc最愛電影,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=amc最爱电影
壹電影,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=壹电影
好萊塢電影,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=好莱坞电影
美亞電影臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=美亚电影台
華納電影,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=华纳电影
龍華洋片,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华洋片
龍華電影,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华电影

戲劇,#genre#
ELTA影劇,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=ELTA影剧
EYETV戲劇,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=EYETV戏剧
三立戲劇臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=三立戏剧台
八大戲劇臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=八大戏剧台
公視戲劇,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=公视戏剧
採昌影劇臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=采昌影剧台
民視影劇臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视影剧台
臺灣戲劇,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=台湾戏剧
龍華偶像,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华偶像
龍華影劇,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华影剧
龍華戲劇,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华戏剧

兒童,#genre#
MOMO親子臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=MOMO亲子台
i-Fun動漫臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=i-Fun動漫台
東森幼幼,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=东森幼幼
靖天卡通臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖天卡通台
靖洋卡通臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=靖洋卡通台
龍華卡通,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=龙华卡通

旅遊探索,#genre#
ELTA生活旅遊,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=ELTA生活旅游
EYETV旅遊,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=EYETV旅游
MTV音樂頻道,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=MTV音乐频道
亞洲旅遊臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=亚洲旅游台
民視旅遊臺,http://api.mytv666.top/api/fh6.php?t=台湾频道&id=民视旅游台

