綜合台,#genre#
Arirang,http://smt.iktv.ddns-ip.net/Smart.php?id=arirang_twn
TVBS HD,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs
TVBS 歡樂臺,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbshuanle_twn
三立綜合臺,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlizhonghe
三立臺灣台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlitaiwan
三立都會臺,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlidouhui
中天亞洲,http://smt.iktv.ddns-ip.net/Smart.php?id=ctiasia_twn
中天娛樂,http://smt.iktv.ddns-ip.net/Smart.php?id=ctient
中天綜合,http://smt.iktv.ddns-ip.net/Smart.php?id=ctizhonghe
八大娛樂臺,http://smt.iktv.ddns-ip.net/Smart.php?id=badaentertain
八大第一臺,http://smt.iktv.ddns-ip.net/Smart.php?id=badafirst
八大綜合臺,http://smt.iktv.ddns-ip.net/Smart.php?id=badazhonghe
大愛二臺,http://smt.iktv.ddns-ip.net/Smart.php?id=daai2_twn
大愛電視,http://smt.iktv.ddns-ip.net/Smart.php?id=daai_twn
好消息 2,http://smt.iktv.ddns-ip.net/Smart.php?id=good2_twn
愛爾達綜合臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eltazonghe_twn
東森綜合臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvzhonghe
東森超視,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvsuper
緯來日本,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandjapan
緯來精彩,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandspecial_twn
緯來綜合,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandzonghe
緯來育樂,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandyule
華藝綜合,http://smt.iktv.ddns-ip.net/Smart.php?id=weishichinese_twn
靖天國際,http://smt.iktv.ddns-ip.net/Smart.php?id=jingtianintl_twn
龍祥時代,http://smt.iktv.ddns-ip.net/Smart.php?id=lungxiangtime_twn
龍華經典,http://smt.iktv.ddns-ip.net/Smart.php?id=lunghuajingdian_twn

新聞,#genre#
TVBS 新聞臺,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs_n
中天新聞,http://smt.iktv.ddns-ip.net/Smart.php?id=ctinews
中視新聞,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshinews_twn
寰宇新聞臺,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyuxinwen_twn
寰宇財經臺,http://smt.iktv.ddns-ip.net/Smart.php?id=huanyutaiwan_twn
年代新聞,http://smt.iktv.ddns-ip.net/Smart.php?id=niandainews_twn
東森新聞臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvnews
東森財經新聞臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvcaijing_twn
民視新聞臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvnew_taiwan
臺視新聞,http://smt.iktv.ddns-ip.net/Smart.php?id=ttvnews_twn
非凡新聞,http://smt.iktv.ddns-ip.net/Smart.php?id=feifannews_twn

體育,#genre#
博斯無限臺,http://smt.iktv.ddns-ip.net/Smart.php?id=bosiunlimited_twn
博斯網球檯,http://smt.iktv.ddns-ip.net/Smart.php?id=bositennis_twn
博斯運動一臺,http://smt.iktv.ddns-ip.net/Smart.php?id=bosisport1_twn
博斯運動二臺,http://smt.iktv.ddns-ip.net/Smart.php?id=bosisport2_twn
博斯高球一臺,http://smt.iktv.ddns-ip.net/Smart.php?id=bosigolf1_twn
博斯高球二臺,http://smt.iktv.ddns-ip.net/Smart.php?id=bosigolf2_twn
愛爾達體育1臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport_twn
愛爾達體育2臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport2_twn
愛爾達體育3臺,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport3_twn
緯來體育,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandsport

四台,#genre#
中視 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshihd_twn
中視經典,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshi_twn
公視,http://smt.iktv.ddns-ip.net/Smart.php?id=ctv_taiwan
公視臺語臺,http://smt.iktv.ddns-ip.net/Smart.php?id=ctv2_twn
民視 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvhd_taiwan
民視臺灣台,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvtaiwan_twn
