綜合台,#genre#


三立綜合臺,http://free.cnlive.club/channel/6e155cc/index.m3u8?q=1749983000005
中天綜合,http://free.cnlive.club/channel/41db6ede/index.m3u8?q=1749983000005
八大綜合臺,http://free.cnlive.club/channel/27420c52/index.m3u8?q=1749983000005
愛爾達綜合臺,http://free.cnlive.club/channel/n20929de1/index.m3u8?q=1749983000005
東森綜合臺,http://free.cnlive.club/channel/n31b0a4/index.m3u8?q=1749983000005
緯來綜合,http://free.cnlive.club/channel/581c693b/index.m3u8?q=1749983000005
東森超視,http://free.cnlive.club/channel/4210df69/index.m3u8?q=1749983000005
緯來日本,http://free.cnlive.club/channel/58197296/index.m3u8?q=1749983000005
緯來精彩,http://free.cnlive.club/channel/581c2f1a/index.m3u8?q=1749983000005
緯來育樂,http://free.cnlive.club/channel/581c988d/index.m3u8?q=1749983000005

TVBS HD,http://free.cnlive.club/channel/154f9d73/index.m3u8?q=1749983000005
TVBS 歡樂臺,http://free.cnlive.club/channel/n69c10b55/index.m3u8?q=1749983000005

三立臺灣台,http://free.cnlive.club/channel/642f20a/index.m3u8?q=1749983000005
三立都會臺,http://free.cnlive.club/channel/72452bb/index.m3u8?q=1749983000005
中天亞洲,http://free.cnlive.club/channel/41d5ac2a/index.m3u8?q=1749983000005
中天娛樂,http://free.cnlive.club/channel/41d6f491/index.m3u8?q=1749983000005

八大娛樂臺,http://free.cnlive.club/channel/26b73cff/index.m3u8?q=1749983000005
八大第一臺,http://free.cnlive.club/channel/2733018a/index.m3u8?q=1749983000005

大愛二臺,http://free.cnlive.club/channel/46f0bf6e/index.m3u8?q=1749983000005
大愛電視,http://free.cnlive.club/channel/46f9ba85/index.m3u8?q=1749983000005
好消息 2,http://free.cnlive.club/channel/n5e3decc0/index.m3u8?q=1749983000005





華藝綜合,http://free.cnlive.club/channel/5af2eef0/index.m3u8?q=1749983000005
靖天國際,http://free.cnlive.club/channel/63189371/index.m3u8?q=1749983000005
龍祥時代,http://free.cnlive.club/channel/67548a4f/index.m3u8?q=1749983000005
龍華經典,http://free.cnlive.club/channel/66c892d4/index.m3u8?q=1749983000005

新聞,#genre#
TVBS 新聞臺,http://free.cnlive.club/channel/n69ccce92/index.m3u8?q=1749983000005
中天新聞,http://free.cnlive.club/channel/41d8a09d/index.m3u8?q=1749983000005
中視新聞,http://free.cnlive.club/channel/428f1dfa/index.m3u8?q=1749983000005
寰宇新聞臺,http://free.cnlive.club/channel/n43c34be8/index.m3u8?q=1749983000005
寰宇財經臺,http://free.cnlive.club/channel/n4332074a/index.m3u8?q=1749983000005
年代新聞,http://free.cnlive.club/channel/49184630/index.m3u8?q=1749983000005
東森新聞臺,http://free.cnlive.club/channel/n88aa83/index.m3u8?q=1749983000005
東森財經新聞臺,http://free.cnlive.club/channel/209f9e70/index.m3u8?q=1749983000005
民視新聞臺,http://free.cnlive.club/channel/n4b747ee6/index.m3u8?q=1749983000005
臺視新聞,http://free.cnlive.club/channel/452d9d57/index.m3u8?q=1749983000005
非凡新聞,http://free.cnlive.club/channel/6302a884/index.m3u8?q=1749983000005

體育,#genre#
