台湾,#genre#
纬来日本,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandjapan
纬来综合,http://smt.iktv.ddns-ip.net/Smart.php?id=videolandzonghe
爱尔达综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltazonghe_twn
东森超视,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvsuper
美食星球,http://smt.iktv.ddns-ip.net/Smart.php?id=foodplanet_twn
华视,http://smt.iktv.ddns-ip.net/Smart.php?id=ctshd_twn
中视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshihd_twn
台视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ttv_taiwan
民视 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=ftvhd_taiwan
公视,http://smt.iktv.ddns-ip.net/Smart.php?id=ctv_taiwan
EYE 戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=eyetvxiju_twn
TVBS HD,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbs
TVBS 欢乐台,http://smt.iktv.ddns-ip.net/Smart.php?id=tvbshuanle_twn
八大戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=badadrama
八大娱乐台,http://smt.iktv.ddns-ip.net/Smart.php?id=badaentertain
八大第一台,http://smt.iktv.ddns-ip.net/Smart.php?id=badafirst
八大综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=badazhonghe
三立台湾台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlitaiwan
三立戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlixiju_twn
三立综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlizhonghe
三立都会台,http://smt.iktv.ddns-ip.net/Smart.php?id=sanlidouhui
中天亚洲,http://smt.iktv.ddns-ip.net/Smart.php?id=ctiasia_twn
中天娱乐,http://smt.iktv.ddns-ip.net/Smart.php?id=ctient
中天综合,http://smt.iktv.ddns-ip.net/Smart.php?id=ctizhonghe
中视经典,http://smt.iktv.ddns-ip.net/Smart.php?id=zhongshi_twn
公视台语台,http://smt.iktv.ddns-ip.net/Smart.php?id=ctv2_twn
东森戏剧台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvdrama
东森综合台,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvzhonghe
