綜合台,#genre#
EVE,P2p://starvod.xyz:19806/0c8422c7ea47475f89553195c91d60f1.ts
HITS,P2p://starvod.xyz:19806/9d0eb098b1b84f988e2be173bb81d447.ts
ROCK Extreme,P2p://starvod.xyz:19806/1d6de08a7b18478f9570a81a5a43ae9a.ts
WARNER TV,P2p://starvod.xyz:19806/7880becddff342d8a3875e6af8d7e1f2.ts

JET綜合臺,P2p://starvod.xyz:19806/e19a681ceb1f47df920b8f28c2209a91.ts
KLT-靖天國際臺,P2p://starvod.xyz:19806/ed9b07b12a61425aac24eb25061dd122.ts
MOMO綜合臺,P2p://starvod.xyz:19806/01b063908e2843ab9680b176f4e6d0ec.ts
Nice TV靖天歡樂臺,P2p://starvod.xyz:19806/8edc6a4e379a4feb90d683bb579a248f.ts
Smart知識臺,P2p://starvod.xyz:19806/91503615eaa2416b929e56f178be5100.ts
TVBS,P2p://starvod.xyz:19806/7f5153fe32e34c00b9597950419c56ac.ts
TVBS歡樂臺,P2p://starvod.xyz:19806/a4265d3126e645b68497ca319152826f.ts
TVBS精采臺,P2p://starvod.xyz:19806/8630baf77c8948ddada142028d174f6c.ts
三立綜合臺,P2p://starvod.xyz:19806/69750165665e4d05a7efada56fb027af.ts
三立臺灣臺,P2p://starvod.xyz:19806/58e136fc9f924abd9ecae125da26586c.ts
三立都會臺,P2p://starvod.xyz:19806/e672ce75014c4a8a95df6c2ec8c22b73.ts
中天娛樂臺,P2p://starvod.xyz:19806/8d5c2c39309d478db77500e77d647f90.ts
中天綜合臺,P2p://starvod.xyz:19806/f114b85096cd44c8af4b4940462ed5ea.ts
人間衛視,P2p://starvod.xyz:19806/68401339000bbb1d0a8f72ec010f3dc0.ts
佛衛慈悲臺,P2p://starvod.xyz:19806/11083d4d87f24e4fab0b308dc4ad48e5.ts
八大優頻道,P2p://starvod.xyz:19806/96192f43fc89488aa03188785e9fd4c3.ts
八大娛樂臺,P2p://starvod.xyz:19806/5b80ae3bbfdf4f51be179a7ed7a891ba.ts
八大第一臺,P2p://starvod.xyz:19806/e8830993fd404900a0438ad2cf6d0fdd.ts
八大綜合臺,P2p://starvod.xyz:19806/e66207f681ba4f5eaa88053f784c01e4.ts
原住民電視臺,P2p://starvod.xyz:19806/0e9b8c40d4b54342ae81efae98120c54.ts
國興衛視,P2p://starvod.xyz:19806/29b1768324a14967a740c0e0dfbbdbc9.ts
壹電視綜合,P2p://starvod.xyz:19806/83489b0f6dee47ee93e8f47521807fd9.ts
大愛,P2p://starvod.xyz:19806/3e0c07f7812f423bb07d874d61bb62aa.ts
大愛2臺,P2p://starvod.xyz:19806/48f1012707d945c8b0aebcb20a0ef971.ts
好消息,P2p://starvod.xyz:19806/683be1d0000ef592fa2e719f2e2857df.ts
好消息2臺,P2p://starvod.xyz:19806/fbffde9801a344c4a9a42216c1455163.ts
客家電視臺,P2p://starvod.xyz:19806/4264a306bd714d07becca1a210183e71.ts
東森綜合臺,P2p://starvod.xyz:19806/799fa5e77f4442edb0cd2d705850e365.ts
緯來日本,P2p://starvod.xyz:19806/1eb98854f08a425d8cb114f85d12e2ac.ts
緯來精采,P2p://starvod.xyz:19806/bbf618a8dddc41f4b89f4b4d07533428.ts
緯來綜合臺,P2p://starvod.xyz:19806/12b1022a452d44df8aaefdcde09a57bf.ts
