

體育台,#genre#


博斯無限台,https://yeslivetv.com/channels/sportcast-mod208/
智林體育台,https://yeslivetv.com/channels/oursport/
愛爾達體育1台,https://yeslivetv.com/channels/elta-tv-1/
愛爾達體育2台,https://yeslivetv.com/channels/elta-tv-2/
愛爾達體育3台,https://yeslivetv.com/channels/elta-tv-3/
緯來體育台,https://yeslivetv.com/channels/videoland-sports/
ELEVEN體育1台（DAZN 1）,https://yeslivetv.com/channels/eleven-sports-1/
ELEVEN體育2台（DAZN 2）,https://yeslivetv.com/channels/eleven-sports-2/
新聞綜合,
民視第一台,https://yeslivetv.com/channels/ftvone/
民視台灣台,https://yeslivetv.com/channels/ftvhd/
民視HD,https://yeslivetv.com/channels/ftv-hd/
中視HD,https://yeslivetv.com/channels/ctv-hd/
中視經典台,https://yeslivetv.com/channels/ctv-classic/
華視,https://yeslivetv.com/channels/cts-hd/
三立綜合台,https://yeslivetv.com/channels/set/
八大綜合台(CH28),https://yeslivetv.com/channels/gtv-ch28/
中視菁采台,https://yeslivetv.com/channels/ctv-bravo/
TVBS精采台,https://yeslivetv.com/channels/tvbs-e/
愛爾達娛樂台,https://yeslivetv.com/channels/eltatv-entertainment/
靖天綜合台,https://yeslivetv.com/channels/goldentv-mod303/
中天綜合台,https://yeslivetv.com/channels/ctitv-ch36/
TVBS 55台,https://yeslivetv.com/channels/tvbs55/
TVBS 56台,https://yeslivetv.com/channels/tvbs56/
中天亞洲台,https://yeslivetv.com/channels/ctiasia/
Taiwan+(台灣+),https://yeslivetv.com/channels/taiwanplus/
年代新聞台,https://yeslivetv.com/channels/era-news/
財經頻道,
非凡新聞台,https://yeslivetv.com/channels/ustv/
東森財經台(股市),https://yeslivetv.com/channels/ebc-stock/
非凡商業台,https://yeslivetv.com/channels/ustvbiz/
台視財經台,https://yeslivetv.com/channels/ttv-finance/
戲劇電影,
公視戲劇,https://yeslivetv.com/channels/pts-drama/
民視影劇台,https://yeslivetv.com/channels/ftv-film/
龍華戲劇台,https://yeslivetv.com/channels/ltv-drama/
龍華日韓台,https://yeslivetv.com/channels/ltv-japan-korea/
靖天戲劇台,https://yeslivetv.com/channels/goldentv-mod356/
靖洋戲劇台,https://yeslivetv.com/channels/goldentv-mod357/
華視戲劇頻道,https://yeslivetv.com/channels/cts-drama/
綜藝生活,
靖天日本台,https://yeslivetv.com/channels/goldentv-japan/
民視綜藝台,https://yeslivetv.com/channels/ftv-variety-show/
民視旅遊台,https://yeslivetv.com/channels/ftv-travel/
華視綜藝頻道,https://yeslivetv.com/channels/cts-entertainment/
公視台語台,https://yeslivetv.com/channels/pts2/
TVBS 42 歡樂台,https://yeslivetv.com/channels/tvbs42/
緯來日本台,https://yeslivetv.com/channels/videoland-japan/
緯來育樂台,https://yeslivetv.com/channels/videoland-maxtv/
